method,threshold,EC number,Number of positives,F1 score,Difference of F1 score
DNN ESM2 3B,1e-21,3,18719,0.9843485731160567,0.0015973872600844041
DNN ESM2 3B,1e-21,1.13,764,0.9651086240947993,0.008302341372286137
DNN ESM2 3B,1e-21,1.2,1665,0.966859227728793,0.00030303610480986176
DNN ESM2 3B,1e-21,1.20,79,0.9433962264150944,0.01345992068261015
DNN ESM2 3B,1e-21,1.3,1962,0.9531169500257599,0.001053376583052934
DNN ESM2 3B,1e-21,1.97,61,0.9508196721311475,0.009643201542912205
DNN ESM2 3B,1e-21,2.1,3690,0.987778381314503,0.0003578483779412833
DNN ESM2 3B,1e-21,2.2,180,0.9888268156424581,0.005401401277817297
DNN ESM2 3B,1e-21,2.5,1902,0.9847207586933615,0.00024298968520575226
DNN ESM2 3B,1e-21,2.6,1127,0.9852348993288591,0.00030582131467471463
DNN ESM2 3B,1e-21,3.13,60,0.983050847457627,0.04287990728668689
DNN ESM2 3B,1e-21,3.3,99,0.9052631578947369,0.03791621911922671
DNN ESM2 3B,1e-21,3.7,210,0.8867924528301887,0.022830638987706542
DNN ESM2 3B,1e-21,3.8,78,0.802721088435374,0.024197598502488038
DNN ESM2 3B,1e-21,4.3,998,0.9685916919959473,0.0018243203947387876
DNN ESM2 3B,1e-21,4.98,28,1.0,0.05084745762711873
DNN ESM2 3B,1e-21,4.99,93,0.9613259668508287,0.03349091530443682
DNN ESM2 3B,1e-21,6.1,1171,0.998289136013687,0.0016991956897313143
DNN ESM2 3B,1e-21,7.2,219,0.974477958236659,0.02077425453295534
DNN ESM2 3B,1e-21,7.4,136,0.9591078066914498,0.0060392146336881725
DNN ESM2 3B,1e-21,1.1.9,23,0.8163265306122449,0.03371783496007097
DNN ESM2 3B,1e-21,1.1.98,45,0.8444444444444444,0.018357487922705307
DNN ESM2 3B,1e-21,1.13.11,628,0.9770023790642347,0.0040724427585022704
DNN ESM2 3B,1e-21,1.13.12,118,0.875,0.010593220338983023
DNN ESM2 3B,1e-21,1.14.16,64,0.9763779527559054,0.021154072158890425
DNN ESM2 3B,1e-21,1.14.20,20,0.7058823529411764,0.00588235294117645
DNN ESM2 3B,1e-21,1.17.1,108,0.859903381642512,0.041298730479721435
DNN ESM2 3B,1e-21,1.17.2,16,0.8125,0.125
DNN ESM2 3B,1e-21,1.2.3,45,0.9176470588235294,0.060504201680672276
DNN ESM2 3B,1e-21,1.2.4,82,0.9818181818181818,0.012121212121212088
DNN ESM2 3B,1e-21,1.2.5,75,0.7424242424242424,0.047388781431334626
DNN ESM2 3B,1e-21,1.2.7,176,0.9411764705882352,0.026403743315507877
DNN ESM2 3B,1e-21,1.2.99,57,0.7599999999999999,0.019259259259259087
DNN ESM2 3B,1e-21,1.20.4,59,0.9655172413793103,0.024340770791074995
DNN ESM2 3B,1e-21,1.20.9,17,0.9444444444444444,0.04121863799283154
DNN ESM2 3B,1e-21,1.21.98,62,1.0,0.008130081300813052
DNN ESM2 3B,1e-21,1.3.1,918,0.9252905368013281,0.010257857062766051
DNN ESM2 3B,1e-21,1.3.5,202,0.9591836734693878,0.007284939292172554
DNN ESM2 3B,1e-21,1.3.8,167,0.8495575221238938,0.02176296019035906
DNN ESM2 3B,1e-21,1.3.99,233,0.8285077951002228,0.017573854325735216
DNN ESM2 3B,1e-21,1.4.99,62,0.9291338582677167,0.027494514005421578
DNN ESM2 3B,1e-21,1.5.3,88,0.8192771084337349,0.05457122608079368
DNN ESM2 3B,1e-21,1.5.8,61,0.8217054263565892,0.06137484784419245
DNN ESM2 3B,1e-21,1.5.98,35,0.9855072463768115,0.027760767503572037
DNN ESM2 3B,1e-21,1.6.1,16,0.9333333333333333,0.050980392156862786
DNN ESM2 3B,1e-21,1.6.2,56,0.9734513274336283,0.00853904673187389
DNN ESM2 3B,1e-21,1.7.7,22,0.888888888888889,0.07256235827664403
DNN ESM2 3B,1e-21,1.8.2,54,0.9056603773584906,0.027155704461294228
DNN ESM2 3B,1e-21,1.8.3,69,0.9852941176470589,0.015144863915715567
DNN ESM2 3B,1e-21,1.8.98,52,0.9622641509433962,0.037735849056603765
DNN ESM2 3B,1e-21,1.97.1,60,0.9666666666666667,0.017514124293785183
DNN ESM2 3B,1e-21,2.1.1,2967,0.9887186395015995,0.0016619913254355412
DNN ESM2 3B,1e-21,2.1.2,339,1.0,0.0014727540500736325
DNN ESM2 3B,1e-21,2.2.1,180,0.9888268156424581,0.005401401277817297
DNN ESM2 3B,1e-21,2.3.1,2697,0.9810549777117386,0.0008661237957970913
DNN ESM2 3B,1e-21,2.4.2,1365,0.9824175824175824,0.008282791889349217
DNN ESM2 3B,1e-21,2.6.99,97,0.9896907216494846,0.004919148045423705
DNN ESM2 3B,1e-21,2.7.10,77,0.9605263157894737,0.018590831918505968
DNN ESM2 3B,1e-21,2.7.8,673,0.980654761904762,0.0021521673903068805
DNN ESM2 3B,1e-21,2.7.9,74,0.9931972789115647,0.006710792425078216
DNN ESM2 3B,1e-21,2.8.1,611,1.0,0.0008176614881438837
DNN ESM2 3B,1e-21,2.8.4,161,0.9846153846153846,0.006422238197939079
DNN ESM2 3B,1e-21,3.1.12,25,1.0,0.019607843137254943
DNN ESM2 3B,1e-21,3.1.13,142,0.951048951048951,0.005103005103005098
DNN ESM2 3B,1e-21,3.1.21,275,0.9570093457943926,0.008437917222963942
DNN ESM2 3B,1e-21,3.1.31,26,0.9803921568627451,0.04161664665866349
DNN ESM2 3B,1e-21,3.1.4,465,0.9564270152505446,0.0006557099646763431
DNN ESM2 3B,1e-21,3.1.6,159,0.8031496062992127,0.0010662729658793557
DNN ESM2 3B,1e-21,3.13.1,41,0.9367088607594938,0.025316455696202556
DNN ESM2 3B,1e-21,3.3.2,98,0.9042553191489361,0.0382759377056372
DNN ESM2 3B,1e-21,3.4.18,24,0.9787234042553191,0.018723404255319043
DNN ESM2 3B,1e-21,3.4.23,386,0.97911227154047,0.011963782709983772
DNN ESM2 3B,1e-21,3.4.24,795,0.9809885931558935,0.0031264805689232844
DNN ESM2 3B,1e-21,3.5.1,1818,0.9673704414587331,0.0034952362042175444
DNN ESM2 3B,1e-21,3.5.5,95,0.9273743016759777,0.020270476539365645
DNN ESM2 3B,1e-21,3.7.1,209,0.8820754716981132,0.01604676356414192
DNN ESM2 3B,1e-21,3.8.1,78,0.8082191780821918,0.029695688149305788
DNN ESM2 3B,1e-21,4.1.99,342,0.9767441860465116,6.780120686156188e-05
DNN ESM2 3B,1e-21,4.2.99,150,0.9591836734693877,0.005850340136054344
DNN ESM2 3B,1e-21,4.3.2,376,0.983957219251337,0.014340310400610345
DNN ESM2 3B,1e-21,4.98.1,28,1.0,0.05084745762711873
DNN ESM2 3B,1e-21,4.99.1,93,0.9613259668508287,0.03349091530443682
DNN ESM2 3B,1e-21,5.1.1,457,0.9695652173913043,0.006203148425787064
DNN ESM2 3B,1e-21,5.4.99,670,0.9910313901345292,0.0022337799776958045
DNN ESM2 3B,1e-21,6.3.5,568,0.998236331569665,0.0026338689487327427
DNN ESM2 3B,1e-21,7.2.1,57,0.9734513274336283,0.018496372478673306
DNN ESM2 3B,1e-21,7.2.2,137,0.9739776951672863,0.0071880272706073
DNN ESM2 3B,1e-21,7.2.4,25,0.96,0.07999999999999996
DNN ESM2 3B,1e-21,7.4.2,136,0.9591078066914498,0.0060392146336881725
DNN ESM2 3B,1e-21,1.1.1.100,48,0.8000000000000002,0.008333333333333526
DNN ESM2 3B,1e-21,1.1.1.103,31,1.0,0.0461538461538461
DNN ESM2 3B,1e-21,1.1.1.107,14,0.5925925925925927,0.1481481481481482
DNN ESM2 3B,1e-21,1.1.1.132,14,0.8571428571428571,0.05714285714285716
DNN ESM2 3B,1e-21,1.1.1.14,14,0.5,0.18
DNN ESM2 3B,1e-21,1.1.1.140,14,0.8461538461538461,0.06043956043956045
DNN ESM2 3B,1e-21,1.1.1.157,14,0.9655172413793104,0.03218390804597704
DNN ESM2 3B,1e-21,1.1.1.179,13,0.7500000000000001,0.0092592592592593
DNN ESM2 3B,1e-21,1.1.1.184,14,0.8,0.050000000000000044
DNN ESM2 3B,1e-21,1.1.1.195,19,0.7777777777777778,0.0505050505050505
DNN ESM2 3B,1e-21,1.1.1.2,14,0.7407407407407408,0.020740740740740726
